date,BTC_0.5,ETH_0.5,BNB_0.5,XRP_0.5,HEX_0.5,ADA_0.5,DOGE_0.5,SOL_0.5
2023-03-08,22240.165178676478,1561.0748870903913,287.1306440940782,0.3775186750052948,0.06649477075732066,0.3281159426364049,0.07360483793512149,19.97425440607359
2023-03-09,22162.235410197674,1555.994883027321,282.31272622927054,0.3755405986770952,0.06665751455269672,0.3215729898187185,0.07382054345854736,19.570394923835767
2023-03-10,22095.39021696779,1543.991221922431,281.47860198633765,0.37472392627629003,0.06673890797765157,0.31843294085206963,0.07367709371795128,19.330591011734008
2023-03-11,22171.190198535165,1549.7137063253908,279.6832880407977,0.37695077455258136,0.06786690072198193,0.31901042325493445,0.07466831673015692,19.254826203272227
2023-03-12,22222.890170003433,1552.9856507901827,278.2773968101035,0.37496906102184746,0.06733720869915946,0.31903842142604955,0.07492873489722265,19.015087333005383
2023-03-13,22195.699806618977,1552.3975890998204,275.58560176026936,0.3744298975333539,0.06799220067783468,0.31624340508371845,0.07340061907713163,18.957261376842425
2023-03-14,22282.045614711864,1558.0396662292228,274.0586794288615,0.37405990807756084,0.06911135443458827,0.3171092016373305,0.07452847121922229,18.776934901493725
2023-03-15,22398.518334429755,1566.8998406235764,273.46871238910694,0.3766131315619544,0.07129025779913072,0.31826618545749946,0.07462968259835825,18.52467004266741
2023-03-16,22459.63092500271,1573.681537556869,271.7464135790062,0.37815872578075005,0.07323915605614334,0.31678560858650895,0.07512131657297015,18.5283735457865
2023-03-17,22672.40664153766,1579.7955103596364,272.0512238227361,0.38000524717200984,0.07506122985772345,0.31874419949580934,0.07583559097212922,18.603329449771195
2023-03-18,22782.399613336216,1595.7123763013306,274.0182532730811,0.3876062741672053,0.07787586977080932,0.3230836057397438,0.07609994468457469,18.579436954877135
2023-03-19,22817.170120680385,1596.6015348471014,273.3488747592747,0.3869678797588123,0.07897335605967795,0.3222994203367553,0.07558950667801313,18.7027729875388
2023-03-20,22846.259834729106,1604.5343957367745,273.9231409379249,0.39174615611299496,0.0804215402520965,0.3231403761169287,0.07425725365146345,19.11744471952427
2023-03-21,22820.78959376952,1616.8449528776468,275.7358975479108,0.3971706934406479,0.08204481205700526,0.32294832557410613,0.07397056682669369,19.196026121877317
2023-03-22,23052.04436867436,1628.9402297180452,278.40661657409896,0.39970144419065035,0.08436344372217253,0.32746224668669355,0.07296941975960385,19.534235575805816
2023-03-23,23081.567093904385,1633.8446282186703,277.5765346896625,0.4071160429946036,0.08722217823253842,0.32558948643477903,0.07414578947867959,19.672244464012017
2023-03-24,23037.878704927796,1632.945360569749,279.01115200254833,0.4130985013384203,0.08841635047794666,0.32706735766321476,0.07459895100826736,19.722536809529785
2023-03-25,22994.525041565852,1643.922779168337,280.84066993016245,0.4220861669775531,0.0918378566681149,0.32986410151227274,0.07471468718397756,19.74697969606097
2023-03-26,22895.061985605334,1640.071416065024,282.08711578716327,0.4260173087501754,0.09230222205861509,0.3314728206710804,0.0753892907244676,20.175587055800953
2023-03-27,22802.02417875503,1633.567986748425,283.5055497605923,0.4342626104572408,0.09139911714753327,0.3294600496757794,0.07472213328109467,20.453087327898167
2023-03-28,22673.440802222296,1633.9382693706357,286.0040922948132,0.44269084170144224,0.09428820161327427,0.32653506505278074,0.07385328464630625,20.326894419476766
2023-03-29,22699.3477670688,1636.1038193342838,288.0790081029736,0.447556060196722,0.09725644089085958,0.32893790592873196,0.07355212752393799,20.568113058102586
2023-03-30,22581.67431591426,1635.0188693982177,286.6697920516775,0.4560395702324879,0.09817914187428078,0.321468822860434,0.07339368672354546,20.86326483787103
2023-03-31,22489.989354663572,1630.0253043846687,291.9731295819745,0.46116284243766315,0.09762842373029215,0.31995168336839197,0.07396033722998394,21.014971200207782
2023-04-01,22353.267733851382,1620.551483601797,291.64751145757566,0.47449452979484336,0.09934682885997764,0.3228694602067008,0.07486937297525781,21.210518545545884
2023-04-02,22134.746942269885,1618.6105234841193,293.23833768395406,0.47424541553396016,0.0989559227406276,0.31953671372229864,0.07494057827844003,21.39490214498432
2023-04-03,22006.269344483626,1604.0637373424156,294.57268955598136,0.4802339349530407,0.09838880489127444,0.3117794816434204,0.07490297393279559,21.3829054530518
2023-04-04,21764.553471263574,1595.6356365983768,298.7190177486299,0.4889889824424083,0.09886407724541524,0.3055718364676614,0.07437271935882969,21.342911094191695
2023-04-05,21583.45187348161,1593.3364029892518,301.0745630991141,0.49317212038195657,0.1005363995980982,0.30216693744319867,0.07478768987305874,21.171708529076756
2023-04-06,21280.559240073002,1569.4348469479287,302.4777885866109,0.502842265481336,0.10039259881438994,0.2973937272333784,0.07710096640484446,21.10076117614865
